tag,count
O,126792
I-DATE,7664
B-PERSON,7615
B-PROFESSION,5529
I-PERSON,5379
B-EVENT,4405
B-ORGANIZATION,4264
B-DATE,3696
I-ORGANIZATION,3694
I-EVENT,3222
I-PROFESSION,3036
B-COUNTRY,2675
B-CITY,1583
B-NUMBER,1353
I-LAW,1342
B-AGE,903
I-CRIME,891
I-AWARD,831
I-WORK_OF_ART,737
B-ORDINAL,696
I-TIME,620
B-NATIONALITY,611
I-FACILITY,542
B-FACILITY,522
I-MONEY,490
B-WORK_OF_ART,453
I-NUMBER,448
I-PENALTY,442
B-CRIME,439
B-STATE_OR_PROVINCE,437
B-LAW,431
B-AWARD,422
B-IDEOLOGY,393
I-AGE,374
B-PRODUCT,371
B-LOCATION,370
B-DISEASE,352
I-DISEASE,265
B-TIME,245
B-PENALTY,240
B-MONEY,230
I-LOCATION,158
I-PRODUCT,138
I-STATE_OR_PROVINCE,131
I-COUNTRY,130
B-RELIGION,123
B-DISTRICT,122
I-PERCENT,122
B-PERCENT,102
I-DISTRICT,73
B-LANGUAGE,69
I-CITY,65
I-NATIONALITY,63
I-IDEOLOGY,55
B-FAMILY,31
I-FAMILY,30
I-ORDINAL,11
I-RELIGION,2
